"name","comarca","ine","lon","lat","cp"
"Ibieca","Plana de Uesca","22126","-0.2083477","42.1610949","22122"
"Iglesuela del Cid (La)","Maestrazgo","44126","-0.3189668","40.4823794","44142"
"Igriés","Plana de Uesca","22127","-0.4319623","42.2150841","22193"
"Ilche","Somontano de Barbastro","22128","0.0575991","41.956056","22415"
"Illueca","Aranda","50126","-1.6262936","41.5385462","50250"
"Isuerre","Cinco Villas","50128","-1.0553215","42.4887872","50687"
"Isábena","La Ribagorza","22129","0.5446912","42.2941076",NA
"Jabaloyas","Sierra de Albarracín","44127","-1.4102571","40.2396488","44122"
"Jaca","La Jacetania","22130","-0.5470554","42.5717166","22700"
"Jaraba","Comunidad de Calatayud","50129","-1.8848954","41.190774","50237"
"Jarque","Aranda","50130","-1.674247","41.5559643","50258"
"Jarque de la Val","Cuencas Mineras","44128","-0.8014336","40.7023117","44169"
"Jasa","La Jacetania","22131","-0.6660391","42.6940711","22731"
"Jatiel","Bajo Martín","44129","-0.3816039","41.2196472","44592"
"Jaulín","D.C. Zaragoza","50131","-0.9934202","41.4513654","50141"
"Jorcas","Comunidad de Teruel","44130","-0.7526868","40.5426954","44156"
"Josa","Cuencas Mineras","44131","-0.7669481","40.9567779","44792"
"Joyosa (La)","Ribera Alta del Ebro","50132","-1.0735806","41.7450751","50692"
"Labuerda","Sobrarbe","22133","0.1345813","42.4499721","22360"
"Lagata","Campo de Belchite","50133","-0.8050027","41.2397675","50134"
"Lagueruela","Jiloca","44132","-1.1923109","41.0427097","44492"
"Laluenga","Somontano de Barbastro","22135","-0.0475312","42.005464","22125"
"Lalueza","Los Monegros","22136","-0.2578967","41.8417802","22214"
"Lanaja","Los Monegros","22137","-0.3289585","41.7713729","22250"
"Langa del Castillo","Campo de Daroca","50134","-1.39879","41.2108711","50367"
"Lanzuela","Jiloca","44133","-1.2058244","41.0989276","44491"
"Laperdiguera","Somontano de Barbastro","22139","-0.045197","41.9899828","22126"
"Lascellas-Ponzano","Somontano de Barbastro","22141","-0.0840215","42.0682544",NA
"Lascuarre","La Ribagorza","22142","0.5154453","42.1983941","22586"
"Laspaúles","La Ribagorza","22143","0.5982165","42.4705955","22471"
"Laspuña","Sobrarbe","22144","0.1547652","42.5036462","22361"
"Layana","Cinco Villas","50135","-1.2451885","42.2966658","50679"
"Lechón","Campo de Daroca","50138","-1.2839878","41.0867562","50369"
"Leciñena","Los Monegros","50137","-0.612127","41.797573","50160"
"Letux","Campo de Belchite","50139","-0.8026233","41.2548506","50136"
"Libros","Comunidad de Teruel","44135","-1.2340667","40.162074","44132"
"Lidón","Comunidad de Teruel","44136","-1.111921","40.7174925","44164"
"Linares de Mora","Gúdar-Javalambre","44137","-0.5748458","40.3221153","44412"
"Litago","Tarazona y el Moncayo","50140","-1.7535775","41.8141346","50582"
"Lituénigo","Tarazona y el Moncayo","50141","-1.761488","41.8357519","50581"
"Lledó","Matarranya","44141","0.2775579","40.9555155","44624"
"Loarre","Plana de Uesca","22149","-0.6257463","42.3140139","22809"
"Lobera de Onsella","Cinco Villas","50142","-1.0221165","42.4783497","50687"
"Longares","Campo de Cariñena","50143","-1.1682977","41.4021734","50460"
