name,comarca,ine
Alconchel de Ariza,Comunidad de Calatayud,50015
Aldehuela de Liestos,Campo de Daroca,50016
Alfajarín,D.C. Zaragoza,50017
Alfamén,Campo de Cariñena,50018
Alforque,Ribera Baja del Ebro,50019
Alhama de Aragón,Comunidad de Calatayud,50020
Almochuel,Campo de Belchite,50021
Almolda (La),Los Monegros,50022
Almonacid de la Cuba,Campo de Belchite,50023
Almonacid de la Sierra,Valdejalón,50024
Almunia de Doña Godina (La),Valdejalón,50025
Alpartir,Valdejalón,50026
Ambel,Campo de Borja,50027
Anento,Campo de Daroca,50028
Aniñón,Comunidad de Calatayud,50029
Añón de Moncayo,Tarazona y el Moncayo,50030
Aranda de Moncayo,Aranda,50031
Arándiga,Comunidad de Calatayud,50032
Ardisa,Cinco Villas,50033
Ariza,Comunidad de Calatayud,50034
Artieda,La Jacetania,50035
Asín,Cinco Villas,50036
Atea,Campo de Daroca,50037
Ateca,Comunidad de Calatayud,50038
Azuara,Campo de Belchite,50039
Badules,Campo de Daroca,50040
Bagüés,Cinco Villas,50041
Balconchán,Campo de Daroca,50042
Bárboles,Ribera Alta del Ebro,50043
Bardallur,Valdejalón,50044
Belchite,Campo de Belchite,50045
Belmonte de Gracián,Comunidad de Calatayud,50046
Berdejo,Comunidad de Calatayud,50047
Berrueco,Campo de Daroca,50048
Bijuesca,Comunidad de Calatayud,50050
Biota,Cinco Villas,50051
Bisimbre,Campo de Borja,50052
Boquiñeni,Ribera Alta del Ebro,50053
Bordalba,Comunidad de Calatayud,50054
Borja,Campo de Borja,50055
Botorrita,D.C. Zaragoza,50056
Brea de Aragón,Aranda,50057
Bubierca,Comunidad de Calatayud,50058
Bujaraloz,Los Monegros,50059
Bulbuente,Campo de Borja,50060
Bureta,Campo de Borja,50061
Burgo de Ebro (El),D.C. Zaragoza,50062
Buste (El),Tarazona y el Moncayo,50063
Cabañas de Ebro,Ribera Alta del Ebro,50064
Cabolafuente,Comunidad de Calatayud,50065
Cadrete,D.C. Zaragoza,50066
Calatayud,Comunidad de Calatayud,50067
Calatorao,Valdejalón,50068
Calcena,Aranda,50069
Calmarza,Comunidad de Calatayud,50070
Campillo de Aragón,Comunidad de Calatayud,50071
Carenas,Comunidad de Calatayud,50072
Cariñena,Campo de Cariñena,50073
Caspe,Baix Aragó-Casp,50074
Castejón de Alarba,Comunidad de Calatayud,50075
Castejón de las Armas,Comunidad de Calatayud,50076
Castejón de Valdejasa,Cinco Villas,50077
Castiliscar,Cinco Villas,50078
Cervera de la Cañada,Comunidad de Calatayud,50079
Cerveruela,Campo de Daroca,50080
Cetina,Comunidad de Calatayud,50081
Cimballa,Comunidad de Calatayud,50082
Cinco Olivas,Ribera Baja del Ebro,50083
Clarés de Ribota,Comunidad de Calatayud,50084
Codo,Campo de Belchite,50085
Codos,Comunidad de Calatayud,50086
Contamina,Comunidad de Calatayud,50087
Cosuenda,Campo de Cariñena,50088
Cuarte de Huerva,D.C. Zaragoza,50089
Cubel,Campo de Daroca,50090
Cuerlas (Las),Campo de Daroca,50091
Chiprana,Baix Aragó-Casp,50092
Chodes,Valdejalón,50093
Daroca,Campo de Daroca,50094
Ejea de los Caballeros,Cinco Villas,50095
Embid de Ariza,Comunidad de Calatayud,50096
Encinacorba,Campo de Cariñena,50098
Épila,Valdejalón,50099
Erla,Cinco Villas,50100
Escatrón,Ribera Baja del Ebro,50101
Fabara,Baix Aragó-Casp,50102
Farlete,Los Monegros,50104
Fayón,Baix Aragó-Casp,50105
Fayos (Los),Tarazona y el Moncayo,50106
Figueruelas,Ribera Alta del Ebro,50107
Fombuena,Campo de Daroca,50108
Frago (El),Cinco Villas,50109
Frasno (El),Comunidad de Calatayud,50110
Fréscano,Campo de Borja,50111
Fuendejalón,Campo de Borja,50113
Fuendetodos,Campo de Belchite,50114
Fuentes de Ebro,D.C. Zaragoza,50115
Fuentes de Jiloca,Comunidad de Calatayud,50116
Gallocanta,Campo de Daroca,50117
Gallur,Ribera Alta del Ebro,50118
Gelsa,Ribera Baja del Ebro,50119
Godojos,Comunidad de Calatayud,50120
Gotor,Aranda,50121
Grisel,Tarazona y el Moncayo,50122
Grisén,Ribera Alta del Ebro,50123
Herrera de los Navarros,Campo de Daroca,50124
Ibdes,Comunidad de Calatayud,50125
Illueca,Aranda,50126
Isuerre,Cinco Villas,50128
Jaraba,Comunidad de Calatayud,50129
Jarque,Aranda,50130
Jaulín,D.C. Zaragoza,50131
Joyosa (La),Ribera Alta del Ebro,50132
Lagata,Campo de Belchite,50133
Langa del Castillo,Campo de Daroca,50134
Layana,Cinco Villas,50135
Lécera,Campo de Belchite,50136
Leciñena,Los Monegros,50137
Lechón,Campo de Daroca,50138
Letux,Campo de Belchite,50139
Litago,Tarazona y el Moncayo,50140
Lituénigo,Tarazona y el Moncayo,50141
Lobera de Onsella,Cinco Villas,50142
Longares,Campo de Cariñena,50143
Longás,Cinco Villas,50144
Lucena de Jalón,Valdejalón,50146
Luceni,Ribera Alta del Ebro,50147
Luesia,Cinco Villas,50148
Luesma,Campo de Daroca,50149
Lumpiaque,Valdejalón,50150
Luna,Cinco Villas,50151
Maella,Baix Aragó-Casp,50152
Magallón,Campo de Borja,50153
Mainar,Campo de Daroca,50154
Malanquilla,Comunidad de Calatayud,50155
Maleján,Campo de Borja,50156
Malón,Tarazona y el Moncayo,50157
Maluenda,Comunidad de Calatayud,50159
Mallén,Campo de Borja,50160
Manchones,Campo de Daroca,50161
Mara,Comunidad de Calatayud,50162
María de Huerva,D.C. Zaragoza,50163
Mediana de Aragón,D.C. Zaragoza,50164
Mequinenza,Baix Cinca,50165
Mesones de Isuela,Aranda,50166
Mezalocha,Campo de Cariñena,50167
Mianos,La Jacetania,50168
Miedes de Aragón,Comunidad de Calatayud,50169
Monegrillo,Los Monegros,50170
Moneva,Campo de Belchite,50171
Monreal de Ariza,Comunidad de Calatayud,50172
Monterde,Comunidad de Calatayud,50173
Montón,Comunidad de Calatayud,50174
Morata de Jalón,Valdejalón,50175
Morata de Jiloca,Comunidad de Calatayud,50176
Morés,Comunidad de Calatayud,50177
Moros,Comunidad de Calatayud,50178
Moyuela,Campo de Belchite,50179
Mozota,D.C. Zaragoza,50180
Muel,Campo de Cariñena,50181
Muela (La),Valdejalón,50182
Munébrega,Comunidad de Calatayud,50183
Murero,Campo de Daroca,50184
Murillo de Gállego,Plana de Uesca,50185
Navardún,Cinco Villas,50186
Nigüella,Comunidad de Calatayud,50187
Nombrevilla,Campo de Daroca,50188
Nonaspe,Baix Aragó-Casp,50189
Novallas,Tarazona y el Moncayo,50190
Novillas,Campo de Borja,50191
Nuévalos,Comunidad de Calatayud,50192
Nuez de Ebro,D.C. Zaragoza,50193
Olvés,Comunidad de Calatayud,50194
Orcajo,Campo de Daroca,50195
Orera,Comunidad de Calatayud,50196
Orés,Cinco Villas,50197
Oseja,Aranda,50198
Osera de Ebro,D.C. Zaragoza,50199
Paniza,Campo de Cariñena,50200
Paracuellos de Jiloca,Comunidad de Calatayud,50201
Paracuellos de la Ribera,Comunidad de Calatayud,50202
Pastriz,D.C. Zaragoza,50203
Pedrola,Ribera Alta del Ebro,50204
Pedrosas (Las),Cinco Villas,50205
Perdiguera,Los Monegros,50206
Piedratajada,Cinco Villas,50207
Pina de Ebro,Ribera Baja del Ebro,50208
Pinseque,Ribera Alta del Ebro,50209
Pintanos (Los),Cinco Villas,50210
Plasencia de Jalón,Valdejalón,50211
Pleitas,Ribera Alta del Ebro,50212
Plenas,Campo de Belchite,50213
Pomer,Aranda,50214
Pozuel de Ariza,Comunidad de Calatayud,50215
Pozuelo de Aragón,Campo de Borja,50216
Pradilla de Ebro,Ribera Alta del Ebro,50217
Puebla de Albortón,Campo de Belchite,50218
Puebla de Alfindén (La),D.C. Zaragoza,50219
Puendeluna,Cinco Villas,50220
Purujosa,Aranda,50221
Quinto,Ribera Baja del Ebro,50222
Remolinos,Ribera Alta del Ebro,50223
Retascón,Campo de Daroca,50224
Ricla,Valdejalón,50225
Romanos,Campo de Daroca,50227
Rueda de Jalón,Valdejalón,50228
Ruesca,Comunidad de Calatayud,50229
Sádaba,Cinco Villas,50230
Salillas de Jalón,Valdejalón,50231
Salvatierra de Esca,La Jacetania,50232
Samper del Salz,Campo de Belchite,50233
San Martín de la Virgen de Moncayo,Tarazona y el Moncayo,50234
San Mateo de Gállego,D.C. Zaragoza,50235
Santa Cruz de Grío,Valdejalón,50236
Santa Cruz de Moncayo,Tarazona y el Moncayo,50237
Santa Eulalia de Gállego,Plana de Uesca,50238
Santed,Campo de Daroca,50239
Sástago,Ribera Baja del Ebro,50240
Saviñán,Comunidad de Calatayud,50241
Sediles,Comunidad de Calatayud,50242
Sestrica,Aranda,50243
Sierra de Luna,Cinco Villas,50244
Sigüés,La Jacetania,50245
Sisamón,Comunidad de Calatayud,50246
Sobradiel,Ribera Alta del Ebro,50247
Sos del Rey Católico,Cinco Villas,50248
Tabuenca,Campo de Borja,50249
Talamantes,Campo de Borja,50250
Tarazona,Tarazona y el Moncayo,50251
Tauste,Cinco Villas,50252
Terrer,Comunidad de Calatayud,50253
Tierga,Aranda,50254
Tobed,Comunidad de Calatayud,50255
Torralba de los Frailes,Campo de Daroca,50256
Torralba de Ribota,Comunidad de Calatayud,50257
Torralbilla,Campo de Daroca,50258
Torrehermosa,Comunidad de Calatayud,50259
Torrelapaja,Comunidad de Calatayud,50260
